Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071512900KS,Intel,Core i9-12900KS,1,115,1158,https://cpu.userbenchmark.com/SpeedTest/1821519/12th-Gen-IntelR-CoreTM-i9-12900KS
CPU,BX8071512900KF,Intel,Core i9-12900KF,2,113,8256,https://cpu.userbenchmark.com/SpeedTest/1685583/12th-Gen-IntelR-CoreTM-i9-12900KF
CPU,BX8071512900K,Intel,Core i9-12900K,3,113,33160,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118
CPU,BX8071512700K,Intel,Core i7-12700K,4,112,40533,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119
CPU,BX8071512900F,Intel,Core i9-12900F,5,111,359,https://cpu.userbenchmark.com/SpeedTest/1757838/12th-Gen-IntelR-CoreTM-i9-12900F
CPU,BX8071512700KF,Intel,Core i7-12700KF,6,111,18060,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF
CPU,BX8071512900,Intel,Core i9-12900,7,109,389,https://cpu.userbenchmark.com/SpeedTest/1668917/12th-Gen-IntelR-CoreTM-i9-12900
CPU,BX8071512600K,Intel,Core i5-12600K,8,109,28281,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120
CPU,BX8071512700F,Intel,Core i7-12700F,9,108,3595,https://cpu.userbenchmark.com/Intel-Core-i7-12700F/Rating/4124
CPU,BX8071512600KF,Intel,Core i5-12600KF,10,108,7068,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF
CPU,BX8071512700,Intel,Core i7-12700,11,108,4193,https://cpu.userbenchmark.com/SpeedTest/1750830/12th-Gen-IntelR-CoreTM-i7-12700
CPU,,Intel,Core i7-12650HX,12,104,1,https://cpu.userbenchmark.com/SpeedTest/1798547/12th-Gen-IntelR-CoreTM-i7-12650HX
CPU,BX8070811900K,Intel,Core i9-11900K,13,103,29970,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110
CPU,BX8070811900KF,Intel,Core i9-11900KF,14,102,6172,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz
CPU,100-100000651WOF,AMD,Ryzen 7 5800X3D,15,102,1635,https://cpu.userbenchmark.com/SpeedTest/1817839/AMD-Ryzen-7-5800X3D-8-Core-Processor
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,16,102,144926,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,BX8071512600,Intel,Core i5-12600,17,101,1116,https://cpu.userbenchmark.com/SpeedTest/1751978/12th-Gen-IntelR-CoreTM-i5-12600
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,18,101,66017,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,BX8070811700K,Intel,Core i7-11700K,19,101,53386,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,,AMD,Ryzen 9 5900,20,101,836,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor
CPU,,Intel,Core i9-12950HX,21,100,19,https://cpu.userbenchmark.com/SpeedTest/1842274/12th-Gen-IntelR-CoreTM-i9-12950HX
CPU,BX8070811700KF,Intel,Core i7-11700KF,22,100,15419,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,BX8070110900K,Intel,Core i9-10900K,23,99.8,99518,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX8070110900KF,Intel,Core i9-10900KF,24,99.7,19744,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,,Intel,Core i9-12900HX,25,99.1,17,https://cpu.userbenchmark.com/SpeedTest/1832602/12th-Gen-IntelR-CoreTM-i9-12900HX
CPU,BX8070811600K,Intel,Core i5-11600K,26,98.9,29249,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,27,98.9,268168,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,BX8070811900F,Intel,Core i9-11900F,28,98.9,2955,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz
CPU,BX8071512500,Intel,Core i5-12500,29,98.8,1237,https://cpu.userbenchmark.com/Intel-Core-i5-12500/Rating/4123
CPU,BX80684I99900KS,Intel,Core i9-9900KS,30,98.7,12204,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX8070110850K,Intel,Core i9-10850K,31,98.2,79193,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,BX8070811900,Intel,Core i9-11900,32,97.6,3257,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz
CPU,BX8070811600KF,Intel,Core i5-11600KF,33,97.6,5814,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,100-100000926WOF,AMD,Ryzen 7 5700X,34,97.5,3075,https://cpu.userbenchmark.com/SpeedTest/1823386/AMD-Ryzen-7-5700X-8-Core-Processor
CPU,BX8070811600,Intel,Core i5-11600,35,97.1,2389,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz
CPU,BX80684I79700K,Intel,Core i7-9700K,36,96.9,539156,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,37,96.2,343987,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
CPU,BX80684I99900KF,Intel,Core i9-9900KF,38,96.1,56978,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,,AMD,Ryzen 7 5800,39,96.1,3079,https://cpu.userbenchmark.com/SpeedTest/1496609/AMD-Ryzen-7-5800-8-Core-Processor
CPU,BX8070110700K,Intel,Core i7-10700K,40,96,178105,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,BX80684I99900K,Intel,Core i9-9900K,41,95.9,473577,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX8071512400,Intel,Core i5-12400,42,95.6,5579,https://cpu.userbenchmark.com/Intel-Core-i5-12400/Rating/4122
CPU,BX8071512400F,Intel,Core i5-12400F,43,95.5,11821,https://cpu.userbenchmark.com/Intel-Core-i5-12400F/Rating/4121
CPU,BX80684I79700KF,Intel,Core i7-9700KF,44,95.5,34299,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,,Intel,Core i9-12900H,45,95.4,2837,https://cpu.userbenchmark.com/SpeedTest/1757877/12th-Gen-IntelR-CoreTM-i9-12900H
CPU,BX8070110900F,Intel,Core i9-10900F,46,95.3,7768,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,BX8070110700KF,Intel,Core i7-10700KF,47,95.2,32791,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,BX8071512300,Intel,Core i3-12300,48,95.1,13,https://cpu.userbenchmark.com/SpeedTest/1796462/12th-Gen-IntelR-CoreTM-i3-12300
CPU,100-100000927BOX,AMD,Ryzen 5 5600,49,95,3450,https://cpu.userbenchmark.com/SpeedTest/1822932/AMD-Ryzen-5-5600-6-Core-Processor
CPU,BX8070811700,Intel,Core i7-11700,50,94.4,15260,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz
CPU,,Intel,Core i9-10900,51,94.3,10951,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,BX8070811500,Intel,Core i5-11500,52,94.1,3021,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz
CPU,100-100000263BOX,AMD,Ryzen 7 5700G,53,94,24446,https://cpu.userbenchmark.com/SpeedTest/1552677/AMD-Ryzen-7-5700G-with-Radeon-Graphics
CPU,,Intel,Core i7-12650H,54,93.9,382,https://cpu.userbenchmark.com/SpeedTest/1807229/12th-Gen-IntelR-CoreTM-i7-12650H
CPU,BX8070811700F,Intel,Core i7-11700F,55,93.6,19155,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz
CPU,BX8070110600K,Intel,Core i5-10600K,56,93.4,66138,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072
CPU,BX8070110600KF,Intel,Core i5-10600KF,57,93.2,21460,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,BX8071512100,Intel,Core i3-12100,58,93.1,851,https://cpu.userbenchmark.com/Intel-Core-i3-12100/Rating/4126
CPU,BX80684I59600KF,Intel,Core i5-9600KF,59,92.9,75572,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,BX8070110700F,Intel,Core i7-10700F,60,92.7,43791,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz
CPU,BX80684I59600K,Intel,Core i5-9600K,61,92.7,349542,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX8070110700,Intel,Core i7-10700,62,92.6,59987,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
CPU,BX8070811400,Intel,Core i5-11400,63,92.5,23986,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112
CPU,BX8070811400F,Intel,Core i5-11400F,64,92.4,34507,https://cpu.userbenchmark.com/Intel-Core-i5-11400F/Rating/4111
CPU,,Intel,Core i9-12900HK,65,92.3,829,https://cpu.userbenchmark.com/SpeedTest/1763927/12th-Gen-IntelR-CoreTM-i9-12900HK
CPU,100-100000252BOX,AMD,Ryzen 5 5600G,66,92.2,40369,https://cpu.userbenchmark.com/SpeedTest/1553183/AMD-Ryzen-5-5600G-with-Radeon-Graphics
CPU,BX80684I79700F,Intel,Core i7-9700F,67,91.9,51010,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX80684I78086K,Intel,Core i7-8086K,68,91.5,42342,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,BX80684I99900,Intel,Core i9-9900,69,91.5,11701,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,,Intel,Core i7-12700H,70,91.5,6670,https://cpu.userbenchmark.com/SpeedTest/1750314/12th-Gen-IntelR-CoreTM-i7-12700H
CPU,BX8071512100F,Intel,Core i3-12100F,71,91.4,3085,https://cpu.userbenchmark.com/Intel-Core-i3-12100F/Rating/4125
CPU,BX8070110600,Intel,Core i5-10600,72,91,6694,https://cpu.userbenchmark.com/Intel-Core-i5-10600/Rating/4069
CPU,BX80684I79700,Intel,Core i7-9700,73,90.9,71808,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,BX80684I58600K,Intel,Core i5-8600K,74,90.9,222827,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
